track,artist,acousticness,danceability,energy,instrumentalness,liveness,speechiness,tempo,valence,probable_popularity,key_A,key_A#,key_B,key_C,key_C#,key_D,key_D#,key_E,key_F,key_F#,key_G,key_G#
Connection,Henri Salvador,0.0704,0.837,0.462,0.0165,0.24,0.0331,102.048,0.761,75,0,0,0,0,0,0,0,0,0,0,0,1
O Lucky Man,Henri Salvador,0.0464,0.742,0.702,0.171,0.102,0.048,79.994,0.819,50,0,0,0,0,0,0,0,0,0,1,0,0
We're Going Home,Henri Salvador,0.411,0.515,0.812,0,0.101,0.361,169.981,0.779,75,0,0,0,0,0,0,0,0,0,0,1,0
The Dreamer,Chorus,0.0248,0.708,0.544,0.0039,0.12,0.0368,123.015,0.212,50,0,0,0,0,1,0,0,0,0,0,0,0
Paper Money,Leopold Stokowski,0.505,0.867,0.355,0.837,0.209,0.296,120.967,0.36,50,0,0,0,0,0,0,0,1,0,0,0,0
Starliner,Richard M. Sherman,0.0363,0.674,0.932,0,0.0576,0.0718,144.039,0.826,75,0,0,0,0,0,0,0,0,0,0,0,1
Le roi de caves,Michel Roux,0.323,0.829,0.633,0,0.0969,0.0629,124.504,0.726,25,0,0,0,0,0,0,0,1,0,0,0,0
Le marchand de sable,Jean Claude Corbel,0.0012,0.448,0.84,0,0.0883,0.0361,157.985,0.235,75,0,0,0,0,1,0,0,0,0,0,0,0
Clopin-Clopant,Jean Claude Corbel,0.0462,0.637,0.749,1.51E-06,0.111,0.0306,104.013,0.371,75,0,0,0,1,0,0,0,0,0,0,0,0
C'est le be-bop,Jean Piat,0.197,0.814,0.737,0,0.0954,0.259,171.687,0.461,75,0,0,0,0,0,0,0,0,0,0,1,0
Tout L'amour Du Monde,Henri Salvador,0.49,0.623,0.558,0,0.173,0.0457,90.505,0.455,75,0,0,0,1,0,0,0,0,0,0,0,0
Check That,Lucie Dolene,0.0136,0.586,0.536,2.01E-06,0.0708,0.198,167.669,0.375,50,0,0,1,0,0,0,0,0,0,0,0,0
Shine,Chorus,0.337,0.696,0.518,6.14E-05,0.291,0.0306,101.992,0.288,50,1,0,0,0,0,0,0,0,0,0,0,0
Ethnikos imnos - Imnos is eleftherian (National Anthem - Hymn to Freedom (1-8)),Chorus,0.993,0.411,0.0281,0.824,0.149,0.0353,69.209,0.121,50,0,0,0,0,0,0,0,0,1,0,0,0
Seule et sans armes,Henri Salvador,0.97,0.392,0.0741,0.897,0.118,0.0354,86.428,0.17,50,0,0,0,0,0,0,1,0,0,0,0,0
Snow White and the Seven Dwarfs: One Song,Henri Salvador,0.116,0.944,0.76,0,0.113,0.0851,98.001,0.545,75,0,0,1,0,0,0,0,0,0,0,0,0
La chanson des héros,Chorus,0.278,0.346,0.511,0.0456,0.122,0.044,134.927,0.212,75,0,0,0,0,0,0,0,1,0,0,0,0
Walk Between The Raindrops,Henri Salvador,0.0657,0.259,0.737,5.36E-06,0.0521,0.0401,175.068,0.859,75,0,0,0,0,0,0,0,1,0,0,0,0
Lui,Chorus,0.962,0.543,0.11,0.0245,0.102,0.0425,113.846,0.374,25,0,0,0,0,0,0,0,0,0,0,0,1
Le Petit Clown - Remastered,Richard M. Sherman,0.0236,0.44,0.874,0,0.289,0.048,149.998,0.38,75,0,0,0,0,0,1,0,0,0,0,0,0
Juliette et Hugo,Larry Groce,0.0541,0.703,0.585,0,0.129,0.0443,93.067,0.562,50,0,0,0,0,0,0,0,0,0,1,0,0
Il me dit que je suis belle,Chorus,0.75,0.536,0.574,0.00277,0.105,0.0254,87.194,0.877,75,0,0,0,0,0,0,0,0,0,0,1,0
Le Chien Et La Souris - Remastered,Henri Salvador,0.0233,0.505,0.906,0.000992,0.353,0.0733,120.063,0.485,75,0,0,0,0,0,0,0,1,0,0,0,0
She Ra (J'ai le pouvoir),Ken Page,0.491,0.157,0.0408,0.847,0.107,0.0376,90.223,0.0331,50,1,0,0,0,0,0,0,0,0,0,0,0
Peaceful Easy Feeling,Ken Page,0.209,0.62,0.418,0,0.111,0.237,96.438,0.301,75,0,0,0,1,0,0,0,0,0,0,0,0
Annie - Remastered,Henri Salvador,0.000243,0.576,0.557,0.631,0.276,0.0318,140.012,0.184,50,0,0,0,0,1,0,0,0,0,0,0,0
Il était une fois,Lucie Dolene,0.954,0.468,0.781,2.37E-06,0.703,0.933,87.309,0.447,25,0,0,1,0,0,0,0,0,0,0,0,0
Adrien le sauveur du monde,Jean Piat,0.00162,0.818,0.579,0,0.151,0.207,121.025,0.311,75,0,0,0,1,0,0,0,0,0,0,0,0
S'il suffisait d'aimer,Chorus,0.00668,0.599,0.468,0,0.443,0.0311,140.043,0.628,50,0,0,0,1,0,0,0,0,0,0,0,0
Tirade des nez - Cyrano de Bergerac Acte 1 Scène 4,Marie Ruggieri,0.201,0.471,0.487,0,0.0815,0.0288,140.048,0.342,25,0,0,0,1,0,0,0,0,0,0,0,0
Mon hasard,Chorus,0.308,0.352,0.723,0.244,0.0716,0.0711,89.842,0.415,50,0,0,0,0,0,0,0,1,0,0,0,0
Miserere (version classique),Henri Salvador,0.387,0.541,0.41,0,0.0853,0.303,177.527,0.938,50,0,0,0,1,0,0,0,0,0,0,0,0
Il pleure dans mon cœur - Paul Verlaine,Henri Salvador,0.0239,0.53,0.954,0,0.509,0.0742,92.462,0.494,50,0,0,0,1,0,0,0,0,0,0,0,0
